City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,hasaki,35.7333,140.8333,4.22,59,63,3.08,JP,1681071951
1,ola,59.5833,151.2833,-14.11,83,100,3.24,RU,1681072151
2,hobart,-42.8794,147.3294,10.92,71,40,7.72,AU,1681072055
3,lagos,6.5833,3.75,28.18,79,100,2.05,NG,1681072147
4,hermanus,-34.4187,19.2345,16.0,72,0,7.49,ZA,1681072152
5,maceio,-9.6658,-35.7353,28.69,78,40,4.63,BR,1681072153
6,saint george,37.1041,-113.5841,25.8,20,0,1.54,US,1681072153
7,albany,42.6001,-73.9662,13.71,20,1,0.89,US,1681071861
8,arraial do cabo,-22.9661,-42.0278,24.92,78,100,4.12,BR,1681072154
9,mataura,-46.1927,168.8643,11.38,94,98,1.93,NZ,1681072154
10,chicama,-7.8447,-79.1469,29.3,60,100,5.48,PE,1681072155
11,jamestown,42.097,-79.2353,14.73,32,0,1.79,US,1681072155
12,chokurdakh,70.6333,147.9167,-25.57,93,59,3.95,RU,1681072156
13,sao jose da coroa grande,-8.8978,-35.1478,27.01,77,94,3.88,BR,1681072156
14,nemuro,43.3236,145.575,1.56,73,0,4.97,JP,1681072157
15,punta arenas,-53.15,-70.9167,6.06,56,20,10.29,CL,1681072158
16,mahibadhoo,3.7833,72.9667,28.69,72,5,4.89,MV,1681072159
17,petropavlovsk-kamchatskiy,53.0452,158.6483,0.33,100,100,3.0,RU,1681072159
18,bollnas,61.3482,16.3946,0.79,85,96,1.79,SE,1681072160
19,rikitea,-23.1203,-134.9692,24.67,62,1,3.5,PF,1681072160
20,new norfolk,-42.7826,147.0587,10.72,66,100,2.24,AU,1681072161
21,tuktoyaktuk,69.4541,-133.0374,-14.0,78,75,8.75,CA,1681072161
22,qaanaaq,77.484,-69.3632,-20.93,73,0,2.28,GL,1681072162
23,port alfred,-33.5906,26.891,18.04,81,95,8.24,ZA,1681072162
24,isangel,-19.55,169.2667,27.16,80,3,1.05,VU,1681072162
25,beloha,-25.1667,45.05,23.22,88,0,4.92,MG,1681072163
26,ushuaia,-54.8,-68.3,0.81,93,100,6.69,AR,1681072163
27,zhangjiakou,40.81,114.8794,10.22,33,15,0.82,CN,1681072164
28,kodiak,57.79,-152.4072,-5.27,46,0,12.35,US,1681072164
29,wesselsbron,-27.8549,26.3658,14.26,83,100,3.07,ZA,1681072165
30,barrow,71.2906,-156.7887,-21.99,77,100,6.69,US,1681072165
31,tigil,57.8,158.6667,-2.75,94,100,6.24,RU,1681072166
32,avarua,-21.2078,-159.775,28.03,74,19,3.09,CK,1681072166
33,norman wells,65.282,-126.8329,0.02,69,20,7.72,CA,1681072166
34,necochea,-38.5473,-58.7368,27.13,41,23,5.84,AR,1681072122
35,khandagayty,50.7333,92.05,-9.85,63,1,3.83,RU,1681072167
36,geraldton,-28.7667,114.6,12.23,94,1,3.6,AU,1681072167
37,faanui,-16.4833,-151.75,27.45,76,100,7.49,PF,1681072168
38,mattru,7.6244,-11.8332,25.9,79,85,1.52,SL,1681072168
39,puerto ayora,-0.7393,-90.3518,31.98,83,92,2.24,EC,1681072169
40,kunya,12.2233,8.5325,30.09,17,0,5.14,NG,1681072169
41,dikson,73.5069,80.5464,-25.21,88,100,4.07,RU,1681072170
42,vaini,-21.2,-175.2,28.09,78,20,1.54,TO,1681072170
43,rantauprapat,2.1,99.8333,22.14,97,95,0.49,ID,1681072170
44,cockburn town,21.4612,-71.1419,26.98,69,40,5.14,TC,1681072172
45,moro,26.6646,68.0016,30.67,14,100,1.47,PK,1681072172
46,kahului,20.8947,-156.47,27.2,74,40,8.23,US,1681072173
47,romny,50.751,33.4747,9.5,79,99,1.29,UA,1681072173
48,yellowknife,62.456,-114.3525,3.29,65,20,2.06,CA,1681072173
49,east london,-33.0153,27.9116,18.0,83,100,8.37,ZA,1681072174
50,nioro,13.35,-15.75,30.3,26,22,3.92,GM,1681072174
51,excelsior springs,39.3392,-94.2261,22.87,24,0,2.06,US,1681072103
52,chuy,-33.6971,-53.4616,22.54,61,15,4.66,UY,1681072175
53,demba,-5.51,22.2667,21.87,88,91,1.21,CD,1681072175
