City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,ushuaia,-54.8,-68.3,4.81,75,20,7.2,AR,1680916848
1,rikitea,-23.1203,-134.9692,24.99,69,67,6.04,PF,1680916909
2,aripuana,-9.1667,-60.6333,21.94,98,25,0.41,BR,1680916975
3,vaini,-21.2,-175.2,30.09,79,40,6.17,TO,1680916917
4,khatanga,71.9667,102.5,-21.73,95,100,6.29,RU,1680916916
5,bredasdorp,-34.5322,20.0403,14.42,74,100,1.05,ZA,1680916948
6,port elizabeth,-33.918,25.5701,18.16,96,75,2.24,ZA,1680916941
7,chokurdakh,70.6333,147.9167,-18.76,93,22,1.64,RU,1680916957
8,hunchun,42.8675,130.3581,4.35,26,54,5.63,CN,1680916976
9,hermanus,-34.4187,19.2345,13.22,82,100,3.79,ZA,1680916912
10,cape town,-33.9258,18.4232,15.61,80,75,4.47,ZA,1680916628
11,ossora,59.2353,163.0719,-6.37,70,2,1.57,RU,1680916976
12,cidreira,-30.1811,-50.2056,20.96,76,95,4.84,BR,1680916920
13,roald,62.5833,6.1333,6.29,74,39,2.53,NO,1680916977
14,zhigansk,66.7697,123.3711,-8.93,93,100,11.65,RU,1680916977
15,coquimbo,-29.9533,-71.3436,15.85,94,100,1.03,CL,1680916904
16,airai,-8.9266,125.4092,19.38,69,100,1.83,TL,1680916949
17,fortuna,40.5982,-124.1573,11.48,81,100,1.34,US,1680916978
18,de-kastri,51.4667,140.7833,-0.29,86,100,3.07,RU,1680916978
19,atuona,-9.8,-139.0333,27.47,75,100,8.85,PF,1680916900
20,jamestown,42.097,-79.2353,2.77,68,0,2.57,US,1680916727
21,kavieng,-2.5744,150.7967,28.09,80,100,4.19,PG,1680916979
22,ancud,-41.8697,-73.8203,9.57,90,100,2.2,CL,1680916912
23,hamamatsu,34.7,137.7333,17.79,39,0,10.14,JP,1680916979
24,stephenville,32.2207,-98.2023,15.69,66,100,2.06,US,1680916980
25,cherskiy,68.75,161.3,-16.95,87,93,1.77,RU,1680916944
26,polewali,-3.4324,119.3435,28.77,64,76,1.49,ID,1680916980
27,montceau-les-mines,46.6667,4.3667,0.51,94,8,1.1,FR,1680916980
28,lake charles,30.2131,-93.2044,16.0,95,100,7.72,US,1680916851
29,kloulklubed,7.0419,134.2556,28.28,72,100,6.39,PW,1680916981
30,kapaa,22.0752,-159.319,26.99,82,100,7.2,US,1680916905
31,matamoros,25.5333,-103.25,27.06,25,0,3.09,MX,1680916981
32,mahebourg,-20.4081,57.7,24.03,94,40,2.06,MU,1680916952
33,sao joao da barra,-21.6403,-41.0511,24.25,90,100,2.69,BR,1680916982
34,tasiilaq,65.6145,-37.6368,0.09,81,94,12.69,GL,1680916944
35,karratha,-20.7377,116.8463,30.96,35,64,2.89,AU,1680916983
36,vao,-22.6667,167.4833,24.14,74,3,3.02,NC,1680916983
37,tuktoyaktuk,69.4541,-133.0374,-16.0,85,75,8.75,CA,1680916965
38,butaritari,3.0707,172.7902,27.86,79,36,8.02,KI,1680916930
39,ponta do sol,32.6667,-17.1,18.34,70,93,0.55,PT,1680916986
40,barrow,71.2906,-156.7887,-20.99,77,100,6.17,US,1680916949
41,puerto ayora,-0.7393,-90.3518,26.97,88,100,1.64,EC,1680916906
42,hobart,-42.8794,147.3294,16.92,62,40,6.69,AU,1680916818
43,lebu,-37.6167,-73.65,11.89,88,100,6.37,CL,1680916987
44,punta arenas,-53.15,-70.9167,4.06,87,20,6.69,CL,1680916901
45,bassano,50.7834,-112.4685,6.27,57,100,6.16,CA,1680916988
46,leh,34.1667,77.5833,-10.3,66,0,1.03,IN,1680916988
47,sao filipe,14.8961,-24.4956,22.02,79,100,2.94,CV,1680916957
48,yukamenskoye,57.8865,52.2416,-3.58,79,25,0.76,RU,1680916989
49,albany,42.6001,-73.9662,3.46,50,100,0.89,US,1680916911
50,juba,4.8517,31.5825,25.8,61,63,1.66,SS,1680916989
51,padang,-0.9492,100.3543,26.03,82,100,1.19,ID,1680916990
52,diu,20.7141,70.9822,25.97,49,6,2.3,IN,1680916990
53,saskylakh,71.9167,114.0833,-20.75,94,99,4.99,RU,1680916960
54,sinnamary,5.3833,-52.95,24.54,79,68,4.12,GF,1680916991
55,georgetown,5.4112,100.3354,27.96,89,20,1.54,MY,1680916914
56,bonthe,7.5264,-12.505,26.15,87,17,1.92,SL,1680916992
57,new norfolk,-42.7826,147.0587,16.72,61,98,1.79,AU,1680916918
58,port alfred,-33.5906,26.891,17.66,86,15,3.95,ZA,1680916903
